a	b	c	d	sel0	sel1	((¬sel1 ∧ (¬sel0 ∧ a)) ∨ ((¬sel1 ∧ (sel0 ∧ b)) ∨ ((sel1 ∧ (¬sel0 ∧ c)) ∨ (sel0 ∧ (sel1 ∧ d)))))
F	F	F	F	F	F	F
F	F	F	F	F	T	F
F	F	F	F	T	F	F
F	F	F	F	T	T	F
F	F	F	T	F	F	F
F	F	F	T	F	T	F
F	F	F	T	T	F	F
F	F	F	T	T	T	T
F	F	T	F	F	F	F
F	F	T	F	F	T	T
F	F	T	F	T	F	F
F	F	T	F	T	T	F
F	F	T	T	F	F	F
F	F	T	T	F	T	T
F	F	T	T	T	F	F
F	F	T	T	T	T	T
F	T	F	F	F	F	F
F	T	F	F	F	T	F
F	T	F	F	T	F	T
F	T	F	F	T	T	F
F	T	F	T	F	F	F
F	T	F	T	F	T	F
F	T	F	T	T	F	T
F	T	F	T	T	T	T
F	T	T	F	F	F	F
F	T	T	F	F	T	T
F	T	T	F	T	F	T
F	T	T	F	T	T	F
F	T	T	T	F	F	F
F	T	T	T	F	T	T
F	T	T	T	T	F	T
F	T	T	T	T	T	T
T	F	F	F	F	F	T
T	F	F	F	F	T	F
T	F	F	F	T	F	F
T	F	F	F	T	T	F
T	F	F	T	F	F	T
T	F	F	T	F	T	F
T	F	F	T	T	F	F
T	F	F	T	T	T	T
T	F	T	F	F	F	T
T	F	T	F	F	T	T
T	F	T	F	T	F	F
T	F	T	F	T	T	F
T	F	T	T	F	F	T
T	F	T	T	F	T	T
T	F	T	T	T	F	F
T	F	T	T	T	T	T
T	T	F	F	F	F	T
T	T	F	F	F	T	F
T	T	F	F	T	F	T
T	T	F	F	T	T	F
T	T	F	T	F	F	T
T	T	F	T	F	T	F
T	T	F	T	T	F	T
T	T	F	T	T	T	T
T	T	T	F	F	F	T
T	T	T	F	F	T	T
T	T	T	F	T	F	T
T	T	T	F	T	T	F
T	T	T	T	F	F	T
T	T	T	T	F	T	T
T	T	T	T	T	F	T
T	T	T	T	T	T	T
